20200208,闵行,古美,正气复式 景观房 中间位置 客厅挑空5.2米 带露台 急售必看好房,820万,5室3厅 | 168.1平米 | 东南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-80571244-746a-4efd-ac19-3b217b65f547.jpg.296x216.jpg
20200208,闵行,古美,古龙城一期好楼层精装修三房含带产权车位春节大放血必看好房,949万,3室2厅 | 145.02平米 | 南 | 精装 | 中楼层(共16层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WclMpwONV_1.jpg.296x216.jpg
20200208,闵行,古美,电梯房 次顶楼 采光视野好 带产权车位必看好房,688万,2室2厅 | 100.81平米 | 南 北 | 简装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-37468bbf-bc57-4ec0-a091-6b977f133751.jpg.296x216.jpg
20200208,闵行,古美,新上架好房+高区景观楼层+带2个产权车位+诚心售必看好房,1580万,4室2厅 | 238.51平米 | 南 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ff1b6909-a6d7-45f2-a556-57d9c99bde5c_1000.jpg.296x216.jpg
20200208,闵行,古美,四楼！！12号虹梅路地铁口+近百万装修设计+店长推荐！必看好房,1285万,4室2厅 | 161.82平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_c6WUuevE9_1.jpg.296x216.jpg
20200208,闵行,古美,双南户型，大花园，配套成熟，交通便利，诚意出售必看好房,320万,2室2厅 | 67.86平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce560454-2452-49f7-b19a-829b5b68e69c.jpg.296x216.jpg
20200208,闵行,古美,栋距开阔，采光充足，户型方正，南北通透，位置安静必看好房,829万,3室2厅 | 125.98平米 | 南 北 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f2530f92-8bca-4f57-845e-d7259aaed122_1000.jpg.296x216.jpg
20200208,闵行,古美,江南一期临湖位置两房，楼层2楼，期待有缘人！必看好房,578万,2室2厅 | 90.8平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qbnwE5x6D_1.jpg.296x216.jpg
20200208,闵行,古美,新梅公寓+楼层好+全明户型+有车位+交通便利必看好房,432万,2室1厅 | 86.42平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_I39CMdz49_1.jpg.296x216.jpg
20200208,闵行,古美,次新房  双南户型 中间楼层  装修保养好   带产权车位必看好房,835万,2室2厅 | 102.93平米 | 南 | 精装 | 中楼层(共22层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cb400346-9e2f-4d31-906a-5c3f81d41fbb.jpg.296x216.jpg
20200208,闵行,古美,1号线地铁口，全明户型，交通出行便利，生活配套齐全必看好房,295万,2室1厅 | 62.38平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oUwwctbBa_1.jpg.296x216.jpg
20200208,闵行,古美,03年新小区 +精装修+总价低,全明户型+配套完善必看好房,435万,2室1厅 | 74.37平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zEqslOPpJ_1.jpg.296x216.jpg
20200208,闵行,古美,稀有一房 中间楼层 近地铁12号 配套齐全 看房随时方便必看好房,290万,1室1厅 | 53.01平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XToBssckl_1.jpg.296x216.jpg
20200208,闵行,古美,楼层好，两房朝南采光好，业主诚意出售必看好房,370万,2室1厅 | 73.98平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6gh0BMiEb_1.jpg.296x216.jpg
20200208,闵行,古美,双轨地铁1号和12号线，非顶楼，满五唯一，婚房精装必看好房,278万,1室1厅 | 55.43平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5559b0d6-4a0e-4301-ac50-d289c710c82a.jpg.296x216.jpg
20200208,闵行,古美,莲花公寓复式房，临地铁医院和商城，精装修，拎包入住必看好房,660万,3室2厅 | 145.13平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2ac3313c-f345-46e5-8d99-0d4b6724b2c1_1000.jpg.296x216.jpg
20200208,闵行,古美,次新房小区，环境优美 房东诚心出售 满五年唯一 税少必看好房,900万,3室2厅 | 128.86平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3f356460-d8b4-4854-a472-10c1df21ae22_1000.jpg.296x216.jpg
20200208,闵行,古美,客厅朝东采光好；业主诚意出售，全明三房中间楼层必看好房,415万,3室1厅 | 78.18平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PAIHL0A9L_1.jpg.296x216.jpg
20200208,闵行,古美,中等装修  近地铁  采光无遮挡  通风好必看好房,199万,1室1厅 | 42.71平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_naSZ9TUS4_1.jpg.296x216.jpg
20200208,闵行,古美,带露台 阁楼 精装南北通 满五年 近地铁必看好房,428万,2室2厅 | 86.16平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wBmHXt4Yt_1.jpg.296x216.jpg
20200208,闵行,古美,蔚蓝城市花园 2室2厅 620万必看好房,620万,2室2厅 | 98.2平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/798c9d08-39d2-45bf-900a-81b8410ad4a0_1000.jpg.296x216.jpg
20200208,闵行,古美,东兰小区助弓装修，全新家具家电，朝南两房，拎包入住必看好房,278万,2室0厅 | 50.2平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kd2ehfYHI_1.jpg.296x216.jpg
20200208,闵行,古美,带产权车位 全新精装家电全含 满五唯一 位置好 楼层佳必看好房,530万,2室2厅 | 92.07平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cDydr74eW_1.jpg.296x216.jpg
20200208,闵行,古美,外销房，品质高。生活配套齐全，面积大单价便宜必看好房,870万,3室2厅 | 195.82平米 | 南 | 简装 | 中楼层(共18层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-faefd8af-1ed9-4d0b-aa65-ca1bbb4e08c6.jpg.296x216.jpg
20200208,闵行,古美,业主诚意出售，大两房电梯高区采光好 近12号线地铁必看好房,750万,2室2厅 | 105.37平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8857b7ee-c995-4563-82fe-21f14f8621d3.png.296x216.jpg
20200208,闵行,古美,钥匙房，无个税，带车位，近地铁，双南户型，次新小区必看好房,640万,2室2厅 | 72.34平米 | 南 | 精装 | 中楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4MMpUbPh2_1.jpg.296x216.jpg
20200208,闵行,古美,A+房源，店长推荐，品质小区，总价低，近地铁。必看好房,195万,1室1厅 | 33.42平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fa230df8-3e7f-4b61-ada0-58eae78901c4_1000.jpg.296x216.jpg
20200208,闵行,古美,A+必卖房主推，飞机户型，采光无遮挡，满五唯一总价低必看好房,770万,3室2厅 | 116.81平米 | 南 | 精装 | 高楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ef28d957-a4ad-4090-bfec-a4c0bfff1915_1000.jpg.296x216.jpg
20200208,闵行,古美,值得推荐 tou资自住好房 业主诚心 位置近虹莘站 九星必看好房,235万,1室1厅 | 55.72平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CjuRSJXLv_1.jpg.296x216.jpg
20200208,闵行,古美,徐汇双南精装两房，中间楼层，满五年唯一。必看好房,285万,2室1厅 | 51.03平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LKolPZu1b_1.jpg.296x216.jpg
20200208,闵行,古美,小区位置好，精装修，可拎包入住，视野宽阔，采光好必看好房,305万,1室1厅 | 54.44平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GvMvCj18e_1.jpg.296x216.jpg
20200208,闵行,古美,平阳新村四街坊，双南两房，满五唯一，双轨交通必看好房,375万,2室1厅 | 76.71平米 | 南 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8cxP7kHVQ_1.jpg.296x216.jpg
20200208,闵行,古美,徐汇户口，12号线虹梅路地铁口，满5唯1，拎包入住必看好房,240万,1室1厅 | 41.5平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_M5Xq6snMH_1.jpg.296x216.jpg
20200208,闵行,古美,纯粹江南 新出2房 满五年唯一 买进价高 不要错过必看好房,555万,2室2厅 | 88.74平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0cjcVt48b_1.jpg.296x216.jpg
20200208,闵行,古美,稀世一梯一户，电梯景观楼层，满五税少，带产权车位必看好房,1360万,5室3厅 | 220.38平米 | 南 | 简装 | 中楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0a2c1c57-0046-4cf9-9656-dd5d35763ad0.jpg.296x216.jpg
20200208,闵行,古美,3米23层高  电梯高层 大三房 湿地公园 配套齐全必看好房,930万,3室2厅 | 139.97平米 | 南 | 简装 | 高楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8ab1bdcc-43ae-436d-b3ec-9d7554279d0c.jpg.296x216.jpg
20200208,闵行,古美,三房户型，带阳台，楼层好，南北格局，交通便利必看好房,385万,3室2厅 | 87.4平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/x-se/shfdfs-image/20170922/b1a2acd0-9de9-4e01-a16c-95e35749f474.jpg.296x216.jpg
20200208,闵行,古美,顶楼三房带露台 有钥匙随时看房 12顾戴路站房主自荐,656万,3室2厅 | 120.23平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2a406f7-fda0-4aa2-b28c-f99659db027f.jpg.296x216.jpg
20200208,闵行,古美,一梯两户 厨卫朝外 户型方正 有钥匙随时看房,375万,2室2厅 | 73.94平米 | 南 | 简装 | 低楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-39eb5c56-15c7-4ff5-9bcb-e1df77da9bd3.png.296x216.jpg
20200208,闵行,古美,地铁口，一梯两户大三房，业主诚心卖，没有小孩上过学,585万,3室1厅 | 98.48平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ad9c19de-7ccb-4885-b0dc-f4ac9a5a8553.jpg.296x216.jpg
20200208,闵行,古美,12号线顾戴路站+古美一村+gold三楼+一梯两户,450万,3室1厅 | 83.12平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d80a0f90-b622-4286-a45b-cdc34ccb8850.jpg.296x216.jpg
20200208,闵行,古美,满五唯一  楼层适中  得房率高  近地铁房主自荐,680万,3室2厅 | 131.4平米 | 南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-56b8e0fa-2567-4b09-8097-d91ca6b3d458.png.296x216.jpg
20200208,闵行,古美,莲花路地铁站好地段旁沿河景观双南两房诚心出售。,350万,2室1厅 | 69.93平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e4b4e35f-696d-4b09-b7f9-cd523904eebb.png.296x216.jpg
20200208,闵行,古美,新时代富嘉花园，顶楼复式，小区正中位置，风光无限好房主自荐,1180万,4室2厅 | 165.02平米 | 南 | 精装 | 高楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bbf1d335-2396-4782-b993-c2333e7f0c41.jpg.296x216.jpg
20200208,闵行,古美,带地下产权车位 东苑电梯房中间楼层 飞机户型 采光好房主自荐,810万,3室2厅 | 121.23平米 | 南 | 精装 | 中楼层(共9层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-710e3499-7634-4cd2-8fb5-fb0c7fdebcbb.png.296x216.jpg
20200208,闵行,古美,欧风花都一楼带花园，满五年，采光无遮挡,820万,4室2厅 | 138.59平米 | 南 | 毛坯 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4c8b0dd3-63f3-4a11-a76f-2e564db4ce47.jpg.296x216.jpg
20200208,闵行,古美,近地铁 商圈成熟 出行方便 优质地段,470万,3室1厅 | 85.87平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c708fce0-c84e-459c-93d6-c439afb66c94.jpg.296x216.jpg
20200208,闵行,古美,古龙城高区复式房，6米挑空大厅，保养精致，位置好,1500万,5室2厅 | 230.8平米 | 南 | 精装 | 高楼层(共22层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e4d73237-2c41-4a70-a016-76a8d55def20.jpg.296x216.jpg
20200208,闵行,古美,大面积双层有花园。适合大家庭入住。位置安静，急售,1600万,5室3厅 | 369.37平米 | 南 | 简装 | 低楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ddd4752e-0407-4525-a89e-96f292297b88.jpg.296x216.jpg
20200208,闵行,古美,电梯花园洋房+9号地铁口+九星旁+位置佳+随时看房,860万,3室2厅 | 139.65平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zdevLc8jd_1.jpg.296x216.jpg
20200208,闵行,古美,宝城大厦 1号线锦江乐园站 楼层高采光好 高区景观房,380万,2室2厅 | 87.81平米 | 东 | 简装 | 高楼层(共21层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-4883edb0-f3f3-49c9-aded-63fe7cc262eb.jpg.296x216.jpg
20200208,闵行,古美,带天然气，近12号虹梅路地铁口，小区景观房,599万,2室2厅 | 79.07平米 | 南 | 简装 | 中楼层(共17层) | 2006年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-0e89eabc-d753-488d-9e1d-a688099a3a21.png.296x216.jpg
20200208,闵行,古美,三开间飞机户型，自带四个阳台，增值税低，车位充足房主自荐,630万,3室2厅 | 135.83平米 | 南 | 简装 | 低楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-353ee2b5-eb9a-4406-90f1-e61ca40ac07e.jpg.296x216.jpg
20200208,闵行,古美,08年新小区 精装地暖  南北通中间楼层 诚心卖 有钥匙房主自荐,725万,2室2厅 | 105.05平米 | 南 | 精装 | 中楼层(共15层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32e9695d-72c5-469f-a482-f1865912992e.jpg.296x216.jpg
20200208,闵行,古美,地铁一号线+商圈，高品质小区，环境优雅，南北户型,750万,2室2厅 | 107.24平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-98dee6e2-734d-4228-b133-c9c0d4810917.jpg.296x216.jpg
20200208,闵行,古美,新梅广场  小区中间位置  小三房 位置好 楼层好房主自荐,580万,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共24层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9f1c5aa0-d706-4ddb-892f-8057a67488f8.jpg.296x216.jpg
20200208,闵行,古美,主力户型，南北通风，采光不错。房主自荐,345万,2室1厅 | 65.29平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-585cc816-1e7d-4364-bdb7-35134ceda32c.jpg.296x216.jpg
20200208,闵行,古美,小高层有电梯，接受半年置换，带车位，双轨地铁房主自荐,668万,2室2厅 | 103.91平米 | 南 | 精装 | 中楼层(共7层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f38be701-2b2a-4c0b-9828-f3448ffbf96d.jpg.296x216.jpg
20200208,闵行,古美,1号线地铁外环路 电梯大三房 楼层好采光好 安静,760万,3室2厅 | 132.02平米 | 南 | 精装 | 高楼层(共12层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2164fae-b418-49a3-a31d-72539a719ba4.jpg.296x216.jpg
20200208,闵行,古美,老业主委托，配套完善，前无遮挡，视野开阔，诚意出售房主自荐,768万,3室2厅 | 87.79平米 | 南 北 | 精装 | 高楼层(共30层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-66e18dfa-2718-41c8-9430-81226c32cf1e.jpg.296x216.jpg
20200208,闵行,古美,12号线虹梅路站 南北通 大两房带入室花园 诚意出售,650万,2室2厅 | 95.45平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-078baf4c-15e8-41dc-870f-5b35186fcdc8.png.296x216.jpg
20200208,闵行,古美,小区环境优美 位置好 总高4楼的小洋房 视野开阔,670万,3室2厅 | 114.13平米 | 南 | 精装 | 低楼层(共4层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-54457f1e-e64e-44a0-8324-71194e0b8bb2.jpg.296x216.jpg
20200208,闵行,古美,超高人气，1号线沿河精装带地暖，满五年唯一，南北通房主自荐,616万,2室2厅 | 99.84平米 | 南 北 | 精装 | 低楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-584629c2-1d91-492f-8b61-b6d73c7a4f0e.jpg.296x216.jpg
20200208,闵行,古美,绿世界二期采光好小区位置好近地铁一号线飞机户型全明房主自荐,840万,3室2厅 | 136.04平米 | 南 | 精装 | 中楼层(共7层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c01d056-ec9a-4990-a8ac-589c32f4cd87.jpg.296x216.jpg
20200208,闵行,古美,外销品质，精装修，厅带挑高，停车无忧，出行便捷。,1150万,4室2厅 | 166.24平米 | 南 | 精装 | 低楼层(共3层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0f3b574c-c9f0-4e0b-889e-fdd6e770c296_1000.jpg.296x216.jpg
20200208,闵行,古美,4开间朝南，精装，高区电梯，采光视野好，满五诚售,1046万,4室2厅 | 157.77平米 | 南 北 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-81fdd181-b179-4163-ba70-e3b31e1f6166.jpg.296x216.jpg
20200208,闵行,古美,满五年唯一，个税免征，前后无遮挡，带产权车位！,1450万,5室2厅 | 238.4平米 | 南 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2acb20b1-fef1-430e-8613-b871f3725898.jpg.296x216.jpg
20200208,闵行,古美,高品质00年小区，近地铁，位于顶楼有超大面积的阁楼房主自荐,735万,3室2厅 | 129.12平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ebe708b5-4254-4ebf-84a6-43bc7e1e595d.jpg.296x216.jpg
20200208,闵行,古美,叠加别墅，全明户型，楼层适宜，中间位置，房东急售,1000万,3室2厅 | 152.15平米 | 南 | 精装 | 低楼层(共3层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mAu2KfbRt_1.jpg.296x216.jpg
20200208,闵行,古美,新梅广场经典复式+有产权车位+交通便利房主自荐,895万,4室2厅 | 176平米 | 南 北 | 精装 | 低楼层(共11层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_B6xh1f8h8_1.jpg.296x216.jpg
20200208,闵行,古美,欧风顶楼带露台，满五唯一，采光好,840万,3室2厅 | 122.27平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-63d9cba3-d215-42c1-8dd0-58bb13efbb90.jpg.296x216.jpg
20200208,闵行,古美,满五年，位置好，采光充足，全明户型，随时看房房主自荐,415万,3室2厅 | 105.08平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c53e8c78-007a-418c-a2e5-1e300a3cb188.jpg.296x216.jpg
20200208,闵行,古美,新梅公寓户型方正+带阁楼露台+使用面积大+看房方便,409万,1室2厅 | 72平米 | 南 | 简装 | 高楼层(共7层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qgu1MlsBI_1.jpg.296x216.jpg
20200208,闵行,古美,店长推荐：惊现大三房户型正气，得房率高，随时看房主自荐,499万,3室2厅 | 96.13平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b086c563-32b9-4107-9499-334338a842b5.jpg.296x216.jpg
20200208,闵行,古美,高区景观房+一梯一户+产权车位+看房方便！,1450万,4室3厅 | 220.18平米 | 南 | 精装 | 高楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lsdw25I8Y.jpg.296x216.jpg
20200208,闵行,古美,满五唯一 南北通 楼层佳三阳台 楼距大 采光强 绿化好,725万,3室2厅 | 133.22平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BlsHbkfS1_1.jpg.296x216.jpg
20200208,闵行,古美,业主诚意出售  东苑怡景园难得电梯三房  链家自如装修,730万,3室2厅 | 126.12平米 | 南 | 精装 | 低楼层(共17层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tb3jMZp3F_1.jpg.296x216.jpg
20200208,闵行,古美,鸿发家园 3室2厅 650万,650万,3室2厅 | 111.29平米 | 南 北 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MohtMlRjA_1.jpg.296x216.jpg
20200208,闵行,古美,鸿发四期电梯顶楼复式 业主置换诚意出售 满五唯一房主自荐,988万,3室2厅 | 153.06平米 | 南 北 | 精装 | 高楼层(共8层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-488bedea-fe01-4261-8edd-33396b403ea2.jpg.296x216.jpg
20200208,闵行,古美,新梅广场，飞机户型，地铁1号线外环路线，有产权车位,635万,3室2厅 | 124.87平米 | 南 | 精装 | 低楼层(共12层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8094b098-f4f8-4319-aba1-1bfb247905df.jpg.296x216.jpg
20200208,闵行,古美,沿河景观，前后间距大采光充足，精装配套,780万,3室2厅 | 118.23平米 | 南 | 精装 | 低楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-907ed6c2-355f-4672-b68c-41c946aa5aa6.jpg.296x216.jpg
