20200208,徐汇,长桥,新笋盘，小区内不靠马路，好楼层，拎包入住！必看好房,370万,1室1厅 | 41.96平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_58LEUoz6T_1.jpg.296x216.jpg
20200208,徐汇,长桥,正南正北，正规一房一厅，五一房，总价低，诚意出售必看好房,183万,1室1厅 | 43.58平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e9d5a49-e6da-42c9-b86d-2549de47d136.jpg.296x216.jpg
20200208,徐汇,长桥,一梯两户+自住装修+双南大两居+高区采光好必看好房,288万,2室1厅 | 65.8平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SVuQJZZf6_1.jpg.296x216.jpg
20200208,徐汇,长桥,满五年不唯一 看房方便 位置好 诚心出售必看好房,158万,1室0厅 | 32.92平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FkoWJut73_1.jpg.296x216.jpg
20200208,徐汇,长桥,徐汇新城税费低，两房朝南客厅朝北，全明户型采光好。必看好房,579万,2室1厅 | 81.78平米 | 南 | 精装 | 15层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DWHgyTQ1h_1.jpg.296x216.jpg
20200208,徐汇,长桥,业主急急急售，中间楼层，难得四房户型，一级棒装修房主自荐,900万,4室2厅 | 139.37平米 | 南 | 精装 | 6层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_47KnEdRKm_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村电梯房，装修好，采光棒，有名、额房主自荐,515万,2室1厅 | 77.61平米 | 南 | 精装 | 高楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_j6UkIuiMC_1.jpg.296x216.jpg
20200208,徐汇,长桥,此房西边套 电梯房中区 看中可谈,830万,3室2厅 | 97.93平米 | 南 | 精装 | 高楼层(共10层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-675d4629-1294-443f-ada8-fc151de472d9.jpg.296x216.jpg
20200208,徐汇,长桥,长桥一村 经典小一房 一梯两户 诚意出售,385万,1室1厅 | 39.98平米 | 南 | 精装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BkbSgzWrh_1.jpg.296x216.jpg
20200208,徐汇,长桥,稀有房源！公房的价格买商品房！房主自荐,315万,2室1厅 | 57.59平米 | 南 | 精装 | 中楼层(共16层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-26d3fb28-57a1-4712-b726-3c9d1135dda1.jpg.296x216.jpg
20200208,徐汇,长桥,94年商品房，满五唯一，可以拎包入住,505万,2室1厅 | 71.69平米 | 南 | 精装 | 低楼层(共16层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_ysK5zmulR_1.jpg.296x216.jpg
20200208,徐汇,长桥,热门成交户型+两房朝南一房朝北+两个卫生间+双阳台房主自荐,810万,3室2厅 | 121.75平米 | 南 北 | 简装 | 7层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_W5OsmQwLF_1.jpg.296x216.jpg
20200208,徐汇,长桥,此房满五唯一.南北通透.楼层好阳光足.配套齐全,980万,3室2厅 | 126.57平米 | 南 北 | 简装 | 6层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b2138309-2369-41cb-8f06-020d9e959a93.png.296x216.jpg
20200208,徐汇,长桥,南北两房，低楼层，交通便利，看房方便,450万,2室0厅 | 52.08平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o6fQaLfp6_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村 售后公房 满五唯一 双南电梯两房 户型正气,480万,2室1厅 | 68.01平米 | 南 | 简装 | 中楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_IUOp2s1mt_1.jpg.296x216.jpg
20200208,徐汇,长桥,好房推荐 位置安静 两个房间朝南 诚意出售,280万,2室1厅 | 57.46平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a85c7f51-3471-43f3-bfcf-cc834866cabd.jpg.296x216.jpg
20200208,徐汇,长桥,稀有房源！公房的价格买商品房！房主自荐,290万,1室1厅 | 48.43平米 | 南 | 精装 | 中楼层(共16层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-e093889c-4eb7-4106-8248-4e53e7b41e24.jpg.296x216.jpg
20200208,徐汇,长桥,精装修南北全明两房，厨卫朝西，全明户型，满五唯一房主自荐,220万,2室0厅 | 44.31平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_55uYacNEi_1.jpg.296x216.jpg
20200208,徐汇,长桥,小区安静位置 东边套全明，房东自住看房方便,1050万,3室2厅 | 123.01平米 | 南 | 精装 | 低楼层(共8层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-657831d9-9702-4415-b053-e75f0a8c3d93.jpg.296x216.jpg
20200208,徐汇,长桥,三房向南，住户多为公司高管，价格可谈,770万,3室2厅 | 117.56平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_66jtBopNM_1.jpg.296x216.jpg
20200208,徐汇,长桥,动迁房无增值税，94年双南电梯房，房东置换诚意出售房主自荐,450万,2室1厅 | 62.11平米 | 南 | 简装 | 中楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-18a83784-97e2-45aa-b448-a5efe353e8f8.jpg.296x216.jpg
20200208,徐汇,长桥,99年电梯房，采光好，视野开阔，老房东诚心出售房主自荐,445万,2室2厅 | 92.69平米 | 东 北 | 简装 | 低楼层(共25层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-adaf46f7-2ce1-45dd-ae46-ae4bfc188e3b.png.296x216.jpg
20200208,徐汇,长桥,十五号线地铁口，双南全明户型，很适合刚需客户。房主自荐,287万,2室1厅 | 57平米 | 南 | 其他 | 6层 | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_670DP7p7c_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村 2室1厅 290万,290万,2室1厅 | 55.73平米 | 南 | 其他 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fc78qiH9f_1.jpg.296x216.jpg
20200208,徐汇,长桥,一梯两户，得房率高，采光无遮挡，有钥匙，随时看房主自荐,200万,1室1厅 | 41.47平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-51517d50-8c07-41ee-8adc-88e237606850.jpg.296x216.jpg
20200208,徐汇,长桥,此房通透，采光好，电梯两房，交通便捷，配套齐全,470万,2室1厅 | 71平米 | 东 | 简装 | 高楼层(共16层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-51f82ead-69f9-49a7-b1e0-987c766a2832.jpg.296x216.jpg
20200208,徐汇,长桥,长桥精装一室户，低总价，有钥匙看房方便,175万,1室1厅 | 37.32平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08b5ddd9-c32d-4cb4-881a-bdb37bac1aa5.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀河景房，中间楼层，采光好，通风好，适宜各种人群,195万,1室1厅 | 41.12平米 | 南 东 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-007426dd-9c2b-4a0d-a43c-4fc210a5ba81.jpg.296x216.jpg
20200208,徐汇,长桥,中间楼层，采光好，通风好，适宜各种人群,182万,1室1厅 | 38.98平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SInM1h1E3_1.jpg.296x216.jpg
20200208,徐汇,长桥,总价低，楼层好，一梯两户，房东诚意出售。,380万,1室1厅 | 42.79平米 | 东南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-182d0f23-c217-41cd-82fe-3dfb96575997.jpg.296x216.jpg
20200208,徐汇,长桥,房型好，视野宽阔，全明户型，中间位置.看房方便,335万,2室1厅 | 71.6平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mySKrIYj0_1.jpg.296x216.jpg
20200208,徐汇,长桥,满五年唯一  东边套 全明 位置好  楼层好,218万,1室1厅 | 43.67平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Aunqiqgsr_1.jpg.296x216.jpg
20200208,徐汇,长桥,电梯两房，采光视野好，简单装修，有钥匙诚意出售,299万,2室1厅 | 68.31平米 | 东北 西 | 简装 | 高楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_iMTEZLRY4_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村 电梯两房，单价低，看房方便,485万,2室1厅 | 73.86平米 | 东南 | 简装 | 低楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_7jLPrZAVv_1.jpg.296x216.jpg
20200208,徐汇,长桥,链家优选新上两房，双南非顶楼，采光视野好，房型方正,295万,2室1厅 | 57.03平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7cHlVfYzt_1.jpg.296x216.jpg
20200208,徐汇,长桥,西边套 全明 3楼 售后公房 看房方便,234万,2室0厅 | 46.66平米 | 南 | 毛坯 | 中楼层(共5层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l135hn52M_1.jpg.296x216.jpg
20200208,徐汇,长桥,中间楼层，采光好，满五唯一，税费少，房东诚心出售,455万,2室1厅 | 68.1平米 | 南 | 毛坯 | 中楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_rd7EsUZZ9_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥六村 1室1厅 229万,229万,1室1厅 | 44.01平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_noSU4db4t_1.jpg.296x216.jpg
20200208,徐汇,长桥,双南电梯房+楼层好+采光好+近出口房主自荐,355万,2室1厅 | 74平米 | 南 | 简装 | 低楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-42866452-32a3-41d2-8feb-9019a41b525d.jpg.296x216.jpg
20200208,徐汇,长桥,热门小区+南北通风经典五房带阁楼户型+精装修拎包入住,928万,5室2厅 | 139.25平米 | 南 | 精装 | 6层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f7499d7a-7c49-41fa-b993-d18f3cd4f540.jpg.296x216.jpg
20200208,徐汇,长桥,长桥一村少有电梯大三房，两南一西带大厅，诚意出售,730万,3室1厅 | 104.94平米 | 南 | 简装 | 高楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-513ddb6e-0e5b-43ad-b26c-3e1394001ea9.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀新村    好楼层   好房型  房东诚意,380万,2室1厅 | 71.61平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ADyDUOjAL_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥一房，楼层佳，采光好,业主诚心出售，满五年,395万,1室1厅 | 44.04平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e57bcf4b-bf78-4a63-bf63-86f278c466a3.jpg.296x216.jpg
20200208,徐汇,长桥,满五年不唯一 全明户型 售后公房 一梯3户,290万,2室1厅 | 58.96平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QzB8PqM0g_1.jpg.296x216.jpg
20200208,徐汇,长桥,一梯一户加错层双南全明户型加四面通风,345万,2室1厅 | 67.95平米 | 南 | 毛坯 | 高楼层(共7层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1a45d429-519b-42c9-a33a-701cf3ba2886.png.296x216.jpg
20200208,徐汇,长桥,小区安静位置，视野好，采光好，看房方便,600万,2室2厅 | 91.83平米 | 南 | 简装 | 7层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XDBlGRB1h_1.jpg.296x216.jpg
20200208,徐汇,长桥,2007年次新小区 一手动迁房 税费少 中高楼层采光好,825万,3室2厅 | 98.79平米 | 南 北 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bf2e4263-9a98-4a13-b2ce-c2a02af60c67.png.296x216.jpg
20200208,徐汇,长桥,长桥一村 1室1厅 370万,370万,1室1厅 | 40.11平米 | 东南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XbkkfdORL_1.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀新村  西边套采光好  房东诚意出售,326万,2室1厅 | 65.94平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uDRJehTAy_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥版块，链家真实房源，业主诚意出售，欢迎看房咨询,236.9万,2室1厅 | 52.08平米 | 东南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-63411600-dc14-4221-b0ce-cd077fa144b2.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀二村大一房，售后公房，房东诚心出售房主自荐,186万,1室1厅 | 39.56平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jfa8duxLj_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥七村 2室1厅 305万,305万,2室1厅 | 57.64平米 | 南 | 其他 | 6层 | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vuVbG6h5R_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥七村 1室1厅 220万,220万,1室1厅 | 43.48平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_f0OqNlI2U_1.jpg.296x216.jpg
20200208,徐汇,长桥,书香逸居 2室1厅 780万,780万,2室1厅 | 98.78平米 | 南 | 其他 | 中楼层(共23层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rn0OplaKM_1.jpg.296x216.jpg
20200208,徐汇,长桥,此房满五唯一，视野宽阔，全明户型，中间位置.,420万,3室1厅 | 84平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-92e0592f-1dde-4254-aab1-1a3877b3b753.jpg.296x216.jpg
20200208,徐汇,长桥,精装修大两房，适合自住，采光好，无遮挡，一梯两户,450万,2室1厅 | 56.07平米 | 东南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a5030933-ce4c-41b8-8105-dd43b4d528cc.jpg.296x216.jpg
20200208,徐汇,长桥,业主诚意出售 看房提前预约 边套全明,414万,1室1厅 | 43.37平米 | 南 | 精装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-91a27d48-3d4d-4e4a-8760-dd68d49ab156.jpg.296x216.jpg
20200208,徐汇,长桥,满五唯一税费少，南北户型西边套，全明户型采光好，,215万,1室1厅 | 44.46平米 | 东南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1d54f418-c140-4254-9042-b997b5120b10.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村 2室1厅 530万,530万,2室1厅 | 77.61平米 | 南 | 精装 | 高楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-6fecbb2a-e574-4dcd-a40c-c5893da680b7.jpg.296x216.jpg
20200208,徐汇,长桥,低楼层，全明两房，满五一，房东零税，诚意售房。,290万,2室1厅 | 57.44平米 | 东南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cqSVGhVom_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥四村 2室1厅 308万,308万,2室1厅 | 68.31平米 | 东北 | 简装 | 中楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_aSzR66y9M_1.jpg.296x216.jpg
20200208,徐汇,长桥,经典一房，全明户型，采光充足，简装，可拎包入住,360万,1室1厅 | 32.98平米 | 南 | 简装 | 低楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LQOpiJcCB_1.jpg.296x216.jpg
20200208,徐汇,长桥,老房东委托  长桥三村  一房  视野开阔,190万,1室0厅 | 38.65平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CpxRRTMdf_1.jpg.296x216.jpg
20200208,徐汇,长桥,三村全明两房，一梯两户，采光好，无遮挡,256万,2室1厅 | 56.63平米 | 东南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XQvC30ySc_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村，正气双南两房，一梯两户，小区中间位置,490万,2室1厅 | 55.28平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cM0DZeL97_1.jpg.296x216.jpg
20200208,徐汇,长桥,正南正北，一房一厅，采光通风好，总价低，诚意出售,210万,1室1厅 | 44.46平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wi4FLfVN8_1.jpg.296x216.jpg
20200208,徐汇,长桥,15号地铁罗秀路，楼层采光好，长桥六村链家优选。房主自荐,235万,1室1厅 | 44.01平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YjhIbGYXw_1.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀二村 1室1厅 180万,180万,1室1厅 | 39.12平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qkhxtgwvr_1.jpg.296x216.jpg
20200208,徐汇,长桥,此房南北两房，电梯采光好，交通便捷，配套齐全,440万,2室1厅 | 59.43平米 | 南 | 精装 | 高楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_s2ogOLbYW_1.jpg.296x216.jpg
20200208,徐汇,长桥,2房户型，正南户型，采光充足，精装修，有家具家电,460万,2室1厅 | 69.12平米 | 南 东北 | 简装 | 中楼层(共16层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_njvbN3Xqk_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村 2室1厅 318万,318万,2室1厅 | 64.65平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zt1BchyTj_1.jpg.296x216.jpg
20200208,徐汇,长桥,精装大一房，自住舒适度高，小区位置方便,230万,1室1厅 | 42.4平米 | 南 | 简装 | 高楼层(共7层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9KtAV1660_1.jpg.296x216.jpg
20200208,徐汇,长桥,好楼层，好户型，满五年，看房方便。房主自荐,465万,2室1厅 | 63.11平米 | 南 | 简装 | 高楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_SnMt5UQN6_1.jpg.296x216.jpg
20200208,徐汇,长桥,没读过书，房子满五年的，无贷款，无抵押,390万,1室1厅 | 43.59平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JnbNbMVoa_1.jpg.296x216.jpg
20200208,徐汇,长桥,精装修+带阁楼+边套全明+南北通风+不临街,689万,3室2厅 | 89.7平米 | 南 | 精装 | 12层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZEqKBwJiI_1.jpg.296x216.jpg
20200208,徐汇,长桥,经典两房，全明户型，采光充足，简装，可拎包入住,498万,2室1厅 | 57平米 | 东南 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C4oafDNLw_1.jpg.296x216.jpg
