20200208,徐汇,长桥,新笋盘，小区内不靠马路，好楼层，拎包入住！必看好房,370万,1室1厅 | 41.96平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_58LEUoz6T_1.jpg.296x216.jpg
20200208,徐汇,长桥,双南两房户型正气，不临马路，满五唯一税费少，诚心售房主自荐,303万,2室1厅 | 60.84平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c797ac3e-3941-4064-ad53-c836172e5ee0.jpg.296x216.jpg
20200208,徐汇,长桥,2007年次新房 电梯高区 精装半年 采光好，诚售！,680万,2室2厅 | 83.89平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e9c138dc-56e8-4caf-9983-cd311959b72b.jpg.296x216.jpg
20200208,徐汇,长桥,四村大一房  卧室改成小两房  采光好 视野佳,200万,1室1厅 | 38.9平米 | 南 | 简装 | 高楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bcf0b17a-eb40-4c15-b62a-39c6a325e653.png.296x216.jpg
20200208,徐汇,长桥,电梯两房，户型方正，交通便利，配套齐全,455万,2室1厅 | 59.43平米 | 南 | 简装 | 高楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-504a207a-852d-4de0-a976-c61909c918ef.jpg.296x216.jpg
20200208,徐汇,长桥,长桥四村   南北的二房   房东置换,260万,2室0厅 | 52.91平米 | 南 | 简装 | 中楼层(共7层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-28533479-3da1-4b2b-93f0-2699b0d36b21.jpg.296x216.jpg
20200208,徐汇,长桥,电梯房满五年，楼层好，看房方便,445万,2室1厅 | 69.47平米 | 东 | 简装 | 中楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-fa51aa40-309c-48c0-95d8-201c8d174cc6.jpg.296x216.jpg
20200208,徐汇,长桥,双南2房 装修好 拎包入住 看房方便,510万,2室1厅 | 72.38平米 | 南 | 其他 | 高楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-4dcfad13-79cf-41cd-a4c7-bdd34fa31697.jpg.296x216.jpg
20200208,徐汇,长桥,徐汇新城+精装修＋得房率高+品质小区＋看房方便房主自荐,710万,4室1厅 | 122.76平米 | 南 | 精装 | 12层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-cc9a8c4b-c514-4e88-9325-f7f18b213c4a.png.296x216.jpg
20200208,徐汇,长桥,罗秀新村+主卧朝南+全明户型+楼层俱佳+采光和视野不错,235万,1室1厅 | 48.41平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e8e10df5-24ae-4eb8-83ca-a7b76854856c.png.296x216.jpg
20200208,徐汇,长桥,长桥三村+一居室+小户型+业主诚意出售+采光好！,185万,1室1厅 | 38.65平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f9d2018a-7194-4759-a248-31cbf76f917d.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村 1房1厅，中等装修，近花园，采光好房主自荐,205万,1室1厅 | 44平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bf532e3-f8cc-4c6e-b635-94a2b38fbcd7.jpg.296x216.jpg
20200208,徐汇,长桥,注意 注意 注意 总价低 一房带厅南北两边通透,168万,1室1厅 | 35平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2acba92-c2f3-4dd3-a5fe-79c1979cbb58.jpg.296x216.jpg
20200208,徐汇,长桥,全明三房，精装修，双南光好，位置安静，拎包入住,560万,3室1厅 | 69.52平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9e2a0ec4-1ede-4f3f-89f5-a846aaedeace.png.296x216.jpg
20200208,徐汇,长桥,满五年不唯一.好楼层，采光好.业主诚意出售.看房方便,370万,1室1厅 | 41.96平米 | 西南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-da59ebb6-d0c0-429f-830c-ae4c08a63ee6.jpg.296x216.jpg
20200208,徐汇,长桥,长桥低总价两房一厅，一家三口适合自住,265万,2室1厅 | 58.64平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-30ce3d35-0390-4122-a3a7-ec125e7666e1.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀新村 1室1厅 235万,235万,1室1厅 | 49.48平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TKX3A5koP_1.jpg.296x216.jpg
20200208,徐汇,长桥,正气一房  诚意出售 户型好  户口随时好迁出,380万,1室1厅 | 40.03平米 | 南 | 毛坯 | 高楼层(共5层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1vw2v1LMX_1.jpg.296x216.jpg
20200208,徐汇,长桥,一梯二户，全明户型，采光好，出行t停车方便!,235万,1室1厅 | 48.41平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WrBVHeL3H_1.jpg.296x216.jpg
20200208,徐汇,长桥,电梯顶楼复式 带露台带产权车位一本产证两套房,1100万,2室4厅 | 129.4平米 | 南 | 精装 | 高楼层(共10层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mwDqSOQRP_1.jpg.296x216.jpg
20200208,徐汇,长桥,楼层好，精装修，一梯二户，采光好，拎包入住！,230万,1室1厅 | 44.46平米 | 南 东南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lKbS7ZLWY_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥一村 2室1厅 450万,450万,2室1厅 | 67.8平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PD2JIqSpq_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村 1室1厅 225万,225万,1室1厅 | 41.66平米 | 南 | 其他 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qfpXeupqR_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村 1室1厅 220万,220万,1室1厅 | 43.77平米 | 南 | 其他 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IPsik0rqh_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村 1室1厅 385万,385万,1室1厅 | 43.58平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aX2LzIqqU_1.jpg.296x216.jpg
20200208,徐汇,长桥,精装修南北两房、南北花园绿地！,680万,2室1厅 | 90.59平米 | 南 北 | 精装 | 12层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_maoTFMliC_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村 1室1厅 222万,222万,1室1厅 | 43.67平米 | 南 | 其他 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DZwK5DvHl_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村 1室1厅 390万,390万,1室1厅 | 43.59平米 | 南 | 其他 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UdCMXNw6J_1.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀二村 1室1厅 182万,182万,1室1厅 | 39.12平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_76ITnYIkv_1.jpg.296x216.jpg
20200208,徐汇,长桥,小区三房楼层好，视野宽阔，采光充足，配套齐全。,800万,3室2厅 | 113.6平米 | 南 北 | 简装 | 12层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cc695eda-612f-4564-b3ce-24b89042057b.jpg.296x216.jpg
20200208,徐汇,长桥,精装修一房一厅.房东诚意出售，房主自荐,200万,1室1厅 | 40.11平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-022af64e-fc0e-47e0-bed6-c495c5e8383c.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀二村 1室1厅 202万,202万,1室1厅 | 39.48平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mmuf7oyTa_1.jpg.296x216.jpg
20200208,徐汇,长桥,本周热推 正气一房，全明户型，采光充足，精装修,375万,1室1厅 | 41.14平米 | 东南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hRmPSe6Qw_1.jpg.296x216.jpg
20200208,徐汇,长桥,电梯一室户，房源少，采光好，户型正气,388万,1室0厅 | 47.05平米 | 南 | 简装 | 低楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_zgQpRjz5t_1.jpg.296x216.jpg
20200208,徐汇,长桥,急 ！ 急！急！重要的事情说三遍，没有比这套便宜的了,187万,1室1厅 | 44.46平米 | 东南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a8cbf7c5-26e5-41b7-8a0f-1b1c7918ddc9.png.296x216.jpg
20200208,徐汇,长桥,双南电梯房   高区采光好  房型正气,465万,2室1厅 | 63.11平米 | 南 | 简装 | 高楼层(共17层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-08ecb7c9-990e-44b7-8aaf-e90a20e38c5f.jpg.296x216.jpg
20200208,徐汇,长桥,总价低，一梯二户，出行方便，优质好房,207万,1室1厅 | 43.48平米 | 东南 | 简装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c10d3c00-eccc-4b09-8727-4a669fb4d886.jpg.296x216.jpg
20200208,徐汇,长桥,户型正气，低楼层，适宜老人，小区位子好。房主自荐,455万,2室1厅 | 55.9平米 | 东南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a703215-7b50-4df7-a308-7d4098680619.jpg.296x216.jpg
20200208,徐汇,长桥,长桥四村 1室0厅 175万,175万,1室0厅 | 29.74平米 | 南 | 简装 | 低楼层(共7层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-df6f9f10-83a1-4b05-adf6-ba37ee94aa8d.jpg.296x216.jpg
20200208,徐汇,长桥,此房满二唯一，五楼采光好，视野开阔，交通方便！,233万,1室1厅 | 49.66平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7647f18b-09fa-41b3-bdcc-bb72d7cf3736.png.296x216.jpg
20200208,徐汇,长桥,二楼一室户+朝南采光好+近出口方便+总价低,176万,1室0厅 | 30.65平米 | 南 | 精装 | 低楼层(共7层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b9b38d64-352a-4106-a245-3297715b899c.jpg.296x216.jpg
20200208,徐汇,长桥,长桥新村    南北一房    楼层好    视野开阔,179万,1室1厅 | 35.81平米 | 南 | 简装 | 高楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bcbf6bbf-296e-4173-9fd3-f5a92b7b9a94.jpg.296x216.jpg
20200208,徐汇,长桥,正气一室户，位置安静前无遮挡，诚意出售价格好谈。,180万,1室0厅 | 38.77平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ewscUp0mN_1.jpg.296x216.jpg
20200208,徐汇,长桥,全明西边套，采光无遮挡，五年精装修，超大楼间距,435万,2室1厅 | 51.1平米 | 南 | 精装 | 高楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-86d3dfb8-6258-463b-8a54-4e9569b3c1da.jpg.296x216.jpg
20200208,徐汇,长桥,星罗苑商品房环境好精装修带阁楼,790万,2室1厅 | 95平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d5edc7c1-e9cc-4bcb-9737-1b22e1c8a652.jpg.296x216.jpg
20200208,徐汇,长桥,全明户型，格局正气，采光充足，视野开阔,460万,2室1厅 | 66.75平米 | 东南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-14566189-722e-4423-ac2e-466fd65edca6.jpg.296x216.jpg
20200208,徐汇,长桥,星罗苑 3室1厅 808万,808万,3室1厅 | 93.95平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-918dd732-e0d7-4e52-a8a5-a903d812eb3d.png.296x216.jpg
20200208,徐汇,长桥,高区电梯房，采光好，视野开阔，通风性好，税费少,390万,2室1厅 | 81.3平米 | 东南 | 简装 | 中楼层(共25层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6e8f5764-1591-4c14-a0fa-20c6ffa855d6.png.296x216.jpg
20200208,徐汇,长桥,品质小区 南北通风 楼层好  精装修保养好  诚意出售,820万,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171224/f05609f8-bcd7-4692-a412-d49737195ff4.jpg.296x216.jpg
20200208,徐汇,长桥,小区优势位置，不临街，室内室外风景独好，包车位。房主自荐,960万,4室2厅 | 161.45平米 | 南 北 | 简装 | 7层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/57cc9ed7-ef48-4271-9c5d-7a6585fc5390.jpg.296x216.jpg
20200208,徐汇,长桥,电梯房两房，自住精装修，房东诚心出售,370万,2室1厅 | 73.4平米 | 南 | 简装 | 高楼层(共25层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bc622920-453a-4703-9b25-6e1acaddaad4.jpg.296x216.jpg
20200208,徐汇,长桥,南北二房，全明户型通透！楼层好！,256万,2室1厅 | 58.27平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadcce73c29-472c-4857-9b5c-e13a171fd0b6.jpg.296x216.jpg
20200208,徐汇,长桥,长桥三村  老房东委托   大一房一厅 全明户型,200万,1室1厅 | 43.7平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1e5d3a9a-e825-45d8-bf63-2c57e0b677da.jpg.296x216.jpg
20200208,徐汇,长桥,满五年，三村很少的双南楼层好，位置好，采光好无遮挡,305万,2室1厅 | 56.89平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fdfeab85-b834-4525-b756-75d5e83952d2.jpg.296x216.jpg
20200208,徐汇,长桥,环境好，户型方正，交通方便。。。,188万,1室1厅 | 40.23平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3b1eb5a9-0e1b-4739-8358-312d2a484868.jpg.296x216.jpg
20200208,徐汇,长桥,电梯房，售后公房，daydayup，好房子要看过才知道哟！,475万,2室1厅 | 66.33平米 | 东 | 简装 | 中楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload669547d2-303c-4735-847e-24fe359f04f4.jpg.296x216.jpg
20200208,徐汇,长桥,长桥八村 1室1厅 285万,285万,1室1厅 | 43.73平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/pc1_JEq5TSaW7_1.jpg.296x216.jpg
20200208,徐汇,长桥,华馨公寓 2室2厅 750万,750万,2室2厅 | 92.72平米 | 南 | 其他 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yN4jwHT7x_1.jpg.296x216.jpg
20200208,徐汇,长桥,房子单价低，房龄新（2007），户型正气,850万,2室1厅 | 96.14平米 | 南 | 精装 | 中楼层(共10层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c6f0fc3b-0e72-4ef0-b40d-ab139060e51a.jpg.296x216.jpg
20200208,徐汇,长桥,长桥七村+两居室+一梯三户+双南户型+业主诚意出售！房主自荐,298万,2室1厅 | 57.85平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20180119/237db101-c382-4338-954c-0f8a355aa948.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀二村 1室1厅 188万,188万,1室1厅 | 39.48平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PXAI6HAec_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥八村 1室1厅 260万,260万,1室1厅 | 44.59平米 | 南 | 其他 | 低楼层(共6层) | 1996年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/pc1_CKVFNHWBv_1.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀新村 1室1厅 255万,255万,1室1厅 | 49.39平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oiDnv9HJJ_1.jpg.296x216.jpg
20200208,徐汇,长桥,三梯队，非顶楼一房一厅，厅很宽敞，总价低清爽装修。,192万,1室1厅 | 41.1平米 | 南 东 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gPN4Gx49P_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥新村 2室0厅 250万,250万,2室0厅 | 45.79平米 | 南 | 简装 | 高楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fc074090-591b-4002-81a1-84b1a661a67d.jpg.296x216.jpg
20200208,徐汇,长桥,售后公房， 满五不唯一，楼层位置好，购房成本低。,408万,1室1厅 | 43.59平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xH8edg49i_1.jpg.296x216.jpg
20200208,徐汇,长桥,房子满五唯一，税费少，正气一房一厅，厨卫朝北。,250万,1室1厅 | 44.01平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c6f08e8e-e340-4488-a02a-eaac1d1d5629.jpg.296x216.jpg
20200208,徐汇,长桥,中间楼层，一房一厅，采光通风好，总价低，诚意出售,225万,1室1厅 | 44.46平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cnDFH3F9r_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥七村上新链家优选好房，精装修，诚意出售的好房子,175万,1室0厅 | 34.05平米 | 南 | 精装 | 6层 | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mLku8yvqI_1.jpg.296x216.jpg
20200208,徐汇,长桥,小区中间位置 双南小两房 高楼层通风采光好,277万,2室1厅 | 57.04平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JOXrdjrDZ_1.jpg.296x216.jpg
20200208,徐汇,长桥,双南两房.阳光好.售后公房满五唯一，楼层好.看房方便,475万,2室1厅 | 60.78平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_prr5WI3ww_1.jpg.296x216.jpg
20200208,徐汇,长桥,新村94年的房子，西边套，不临街自住装修，诚意出售。,298万,2室1厅 | 54.89平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_THQnocqGa_1.jpg.296x216.jpg
20200208,徐汇,长桥,罗秀二村 1室1厅 189万,189万,1室1厅 | 39平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mOhqSDrSC_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥四村 1室1厅 188万,188万,1室1厅 | 38.73平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uCAWgVWWr_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥四村南北2年.满二年.刚装修3年左右房东诚心出售房主自荐,260万,2室1厅 | 51.42平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-322f2546-acec-4b3e-9759-554a90f380b7.jpg.296x216.jpg
