20200208,徐汇,华东理工,售后公房，满五年，中等装修，业主诚意卖！必看好房,310万,2室1厅 | 69.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8040a6f2-42b6-4a33-828a-59f2c58c0828.jpg.296x216.jpg
20200208,徐汇,华东理工,双南两房 全明户型 精装修 满五唯一 可直接拎包入必看好房,285万,2室1厅 | 61.56平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4a326c85-9e6e-4394-9d7d-ebc5a5bd1e1a.jpg.296x216.jpg
20200208,徐汇,华东理工,得房率88%，双天井精装修，一梯两户，西边套全明必看好房,358万,2室1厅 | 67.26平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jeZPNMEnN_1.jpg.296x216.jpg
20200208,徐汇,华东理工,售后公房，小区花园位置 中间楼层厨卫朝北南北通风好必看好房,252万,1室1厅 | 52.52平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tLQ3z4Rnn_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇十村 2室1厅 295万必看好房,295万,2室1厅 | 61.44平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QcJDSkcj3_1.jpg.296x216.jpg
20200208,徐汇,华东理工,东边套南北两房，全明户型，采光通风具佳，可拎包入住必看好房,258万,2室1厅 | 54.33平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zc2le3ElO_1.jpg.296x216.jpg
20200208,徐汇,华东理工,售后公房 满五唯一 双南全明户型必看好房,310万,2室1厅 | 66.07平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oUTI6SaEj_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇六村 六楼边套全明 采光好 有钥匙 看房随时必看好房,177万,1室1厅 | 40.91平米 | 南 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36bcff83-9d9c-4f13-bc14-12e98b3ac6d1.jpg.296x216.jpg
20200208,徐汇,华东理工,凌云新村 1室1厅 195万必看好房,195万,1室1厅 | 40.5平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZADq7bzG2_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北两室户，全明户型，通透性好，总价低，很适合刚需必看好房,239万,2室1厅 | 47.57平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XDxTSzLNv_1.jpg.296x216.jpg
20200208,徐汇,华东理工,精改小户型 全明 中间楼层 满五唯一 诚意出售必看好房,210万,1室1厅 | 44.75平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5GgFpDvaU_1.jpg.296x216.jpg
20200208,徐汇,华东理工,和平小区 售后公房 满五唯一 位置好 采光无遮挡必看好房,345万,2室1厅 | 67.38平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b7c6b7cd-03d1-4d11-851b-6b8dae9e8a8d.JPG.296x216.jpg
20200208,徐汇,华东理工,给老人一个温暖的晚年 希望拎包即可入住的进来看看房主自荐,310万,2室1厅 | 61.35平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9350e3cb-7c3c-4619-8d5e-09012cce04a7.png.296x216.jpg
20200208,徐汇,华东理工,此房满五，精装修，电梯房楼层好，可拎包入住。,940万,3室2厅 | 129.98平米 | 南 北 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-af95d909-dda8-476f-b608-830434687a20.png.296x216.jpg
20200208,徐汇,华东理工,售后公房，满五不唯一，南北通，视野宽阔，采光充足,263万,2室1厅 | 52.16平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fddddde1-3f9a-4736-88b9-82429f49238c.png.296x216.jpg
20200208,徐汇,华东理工,梅陇六村，正气户型，价格实惠，诚意出售，随时看房。,198万,1室1厅 | 43.22平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-571cc287-f54a-40a1-80c4-bb40cf69f08e.png.296x216.jpg
20200208,徐汇,华东理工,售后公房，双南户型，楼层好，房型正，近地铁！房主自荐,380万,3室2厅 | 74.56平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7581018-5498-44ef-ae01-855f06fe045d.jpg.296x216.jpg
20200208,徐汇,华东理工,精装修东边套 厨卫客厅全明 拎包入住  采光充足房主自荐,279万,2室1厅 | 58.82平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-64c77783-a0fe-4373-ba8c-563688b48716.jpg.296x216.jpg
20200208,徐汇,华东理工,此房满五年唯一税费少，小区中间位置，高层采光好,265万,2室1厅 | 53.6平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e327bcdd-6cd0-4f62-9e44-681e29342b48.png.296x216.jpg
20200208,徐汇,华东理工,售后公房 双南双阳台 采光充足,330万,2室1厅 | 68.86平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2d262b42-47cf-4cd7-b44b-c33d20dad2b8.png.296x216.jpg
20200208,徐汇,华东理工,户型佳！朝向双南！看房方便 诚心出售房主自荐,315万,2室1厅 | 61.11平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OMsFWphhZ_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北户型 板式两房 车位充足 交通方便  满五唯一房主自荐,630万,2室2厅 | 93.48平米 | 南 | 简装 | 高楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea665222-55b6-4c14-8471-14ad8fac0d64.jpg.296x216.jpg
20200208,徐汇,华东理工,满五不唯一，随时可看，采光好，不临街，视野开阔,245万,2室0厅 | 48.55平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1adab826-3919-49d4-b90c-9d2c0c5eca8d.png.296x216.jpg
20200208,徐汇,华东理工,此房双南户型 一梯两户 采光充足 配套齐全交通方便房主自荐,460万,2室1厅 | 79.19平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-45bb5590-aa95-48a5-b69e-3b5f9c84fde8.jpg.296x216.jpg
20200208,徐汇,华东理工,舒城苑两房 南北通透  楼层好 采光无遮房主自荐,575万,2室2厅 | 89平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pIt6EGm9x_1.jpg.296x216.jpg
20200208,徐汇,华东理工,难得一见的板式户型，自住精装修，满五唯一，诚心出售,615.6万,2室2厅 | 81平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IvYRJ1KTC_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇五村 高楼层 一梯四户 主卧朝南采光好房主自荐,197万,1室1厅 | 40.39平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5d2b351c-95bf-468d-94a4-f9b78a513644.jpg.296x216.jpg
20200208,徐汇,华东理工,书香苑 满五唯一 产权清晰 业主诚意出售,540万,3室1厅 | 90.2平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fe87a89f-c0c1-4544-9965-8834baaaf836.jpg.296x216.jpg
20200208,徐汇,华东理工,2002年竣工 3楼 次新房 板式房型  全明户型,599万,2室2厅 | 91.25平米 | 南 | 精装 | 6层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3b3cf824-19d4-425e-8454-7579987bfa16.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇三村南北两房，满五唯一税费少房主自荐,280万,2室1厅 | 62.51平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_35mx3QbZV_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇七村少见两房，南北通风，中间楼层，满五唯一,370万,2室1厅 | 69.89平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vSyD1Yd5a_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇四村 3室1厅 390万,390万,3室1厅 | 74.22平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XlQ6Rv2nG_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇四村 2室1厅 385万房主自荐,385万,2室1厅 | 78.39平米 | 南 | 简装 | 低楼层(共20层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-b3987661-5508-4f08-8fdf-002245efb554.png.296x216.jpg
20200208,徐汇,华东理工,小区安静+两房朝南+闹中取静+一梯两户房主自荐,280万,2室1厅 | 61.49平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a4b5f24e-48a4-4d41-964b-e5957212ca16.jpg.296x216.jpg
20200208,徐汇,华东理工,房子满五不唯一 小区进门第二排 交通方便,203万,1室1厅 | 42.5平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VqflWEgWf_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇四村，电梯两房，低楼层，业主诚心卖,345万,2室1厅 | 69.27平米 | 西南 | 简装 | 低楼层(共23层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-09d7ad16-95ab-4b09-a8ba-77319f9e4b8d.jpg.296x216.jpg
20200208,徐汇,华东理工,凌云新村，双南户型，楼层佳，采光好房主自荐,320万,2室1厅 | 61.22平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mENKOGscz_1.jpg.296x216.jpg
20200208,徐汇,华东理工,满五唯一，电梯高层采光视野好，业主诚意卖。房主自荐,375万,2室1厅 | 75.16平米 | 西南 | 简装 | 高楼层(共18层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ab7f0bbc-7875-4d3e-a563-cd560381b7d7.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇四村 2室1厅 310万,310万,2室1厅 | 62.72平米 | 东南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1c9fb3c6-eea9-41c9-9199-ed0cec263052.jpg.296x216.jpg
20200208,徐汇,华东理工,自住精装修  双南双天井 全屋防潮设计,310万,2室1厅 | 56.4平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08b3c018-c014-41f5-a5a5-8c49fb426737.jpg.296x216.jpg
20200208,徐汇,华东理工,离地铁比较近，双南户型，中间楼层视野开阔采光好,368万,2室1厅 | 72.77平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a80de591-57d4-4f05-9eac-f8219e03ec5c.png.296x216.jpg
20200208,徐汇,华东理工,链家优选，通风性好，中环内好房，南北户型，交通便利房主自荐,238万,1室1厅 | 50.53平米 | 南 | 简装 | 6层 | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-74b7d379-7970-4d98-aac1-cf257ff79fd6.jpg.296x216.jpg
20200208,徐汇,华东理工,小区位置好，户型正气，顶楼，采光视野好,199万,1室1厅 | 44平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8cT3NrviR_1.jpg.296x216.jpg
20200208,徐汇,华东理工,自住装修保养不错 通透户型 售后公房 满五年唯一,430万,3室1厅 | 82.21平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d055c90-f211-4f46-a976-07324eb8bc0a.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇五村 3室1厅 370万房主自荐,370万,3室1厅 | 81.98平米 | 南 北 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ad6cceed-df5d-48c8-8579-160f0f5abb8d.jpg.296x216.jpg
20200208,徐汇,华东理工,电梯房高楼层，非顶楼，精装修，诚心置换房主自荐,800万,3室2厅 | 125.18平米 | 南 | 精装 | 高楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7be48020-ba01-4993-b6a4-831798e399f8.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇十村 3室1厅 370万,370万,3室1厅 | 76.78平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OmfMrqeWX_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇四村 3室1厅 366万,366万,3室1厅 | 73.4平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bCKEx5w9P_1.jpg.296x216.jpg
20200208,徐汇,华东理工,此房售后公房满五唯一，南北格局，采光充足,300万,2室1厅 | 52.57平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a148671c-e0cc-403e-ad33-2fc8ee0bbd4a.jpg.296x216.jpg
20200208,徐汇,华东理工,双南一北  房型正气  一梯两户  业主精装房主自荐,399万,2室2厅 | 82.26平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9eefa575-9996-45f2-a84b-b57857151611.jpg.296x216.jpg
20200208,徐汇,华东理工,小区安静，正气三房，交通便利，精装修可直接拎包入住房主自荐,375万,3室2厅 | 74.56平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f05f6339-7390-4e10-9b6a-e7be4f49c85d.jpg.296x216.jpg
20200208,徐汇,华东理工,采光充足 户型方正 一梯四户 看房方便房主自荐,270万,2室1厅 | 51.49平米 | 东南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sMm9fLIlf_1.jpg.296x216.jpg
20200208,徐汇,华东理工,满五年唯一  精装南北两房  3楼  业主诚意出售房主自荐,304万,2室1厅 | 56.45平米 | 南 北 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e4506d0c-31e8-4bf3-a371-b0e11a650dc9.png.296x216.jpg
20200208,徐汇,华东理工,满五不唯一  税费少，户型方正，采光好房主自荐,190万,1室1厅 | 44.73平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pehIWHwVH_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北两房，一梯两户，采光十足，满五年，全新装修,288万,2室1厅 | 55.17平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yluJ7mRvn_1.jpg.296x216.jpg
20200208,徐汇,华东理工,小区环境优美，位于华理旁边，书香气息浓厚  中间楼层,310万,2室1厅 | 50.63平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SWVCEzcwN_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北通大两房，错层带天井，品质小区，居住舒适。房主自荐,580万,2室2厅 | 95.24平米 | 南 | 简装 | 低楼层(共13层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-78f9323c-a685-4a04-93df-978de33344a5.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇十一村，中间楼层，精装修一房，总价低诚意出售。,198万,1室1厅 | 33.46平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XdJgWsDg6_1.jpg.296x216.jpg
20200208,徐汇,华东理工,房东置换诚心出售，总价低一房税费少，随时好看房房主自荐,180万,1室0厅 | 31.3平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f7459dfb-6f3b-4a87-abe3-5210571f6d39.jpg.296x216.jpg
